state_abbr,year,month,date,recall_count,class_I,class_II,class_III
CA,2025,7,2025-07-01,36,1,32,3
CA,2025,8,2025-08-01,26,7,19,0
CA,2025,9,2025-09-01,21,3,18,0
CA,2025,10,2025-10-01,30,20,9,1
CA,2025,11,2025-11-01,14,2,11,1
CA,2025,12,2025-12-01,14,1,13,0
CA,2026,1,2026-01-01,2,2,0,0
CO,2012,7,2012-07-01,11,8,3,0
CO,2012,8,2012-08-01,1,1,0,0
CO,2012,9,2012-09-01,9,9,0,0
CO,2012,10,2012-10-01,3,0,3,0
CO,2012,11,2012-11-01,5,5,0,0
CO,2012,12,2012-12-01,2,2,0,0
CO,2013,1,2013-01-01,1,0,1,0
CO,2013,2,2013-02-01,1,1,0,0
CO,2013,4,2013-04-01,1,0,0,1
CO,2013,5,2013-05-01,12,0,12,0
CO,2013,8,2013-08-01,2,0,0,2
CO,2013,10,2013-10-01,13,0,13,0
CO,2013,11,2013-11-01,1,0,1,0
CO,2013,12,2013-12-01,2,1,1,0
CO,2014,1,2014-01-01,1,1,0,0
CO,2014,2,2014-02-01,7,4,3,0
CO,2014,4,2014-04-01,3,3,0,0
CO,2014,5,2014-05-01,2,2,0,0
CO,2014,7,2014-07-01,2,2,0,0
CO,2015,2,2015-02-01,3,2,1,0
CO,2015,3,2015-03-01,1,1,0,0
CO,2015,4,2015-04-01,1,0,0,1
CO,2015,5,2015-05-01,1,1,0,0
CO,2015,6,2015-06-01,4,3,1,0
CO,2015,7,2015-07-01,1,1,0,0
CO,2015,8,2015-08-01,8,0,7,1
CO,2015,10,2015-10-01,3,3,0,0
CO,2015,11,2015-11-01,2,0,2,0
CO,2016,1,2016-01-01,1,0,1,0
CO,2016,3,2016-03-01,1,0,1,0
CO,2016,4,2016-04-01,1,0,1,0
CO,2016,5,2016-05-01,7,2,5,0
CO,2016,6,2016-06-01,11,11,0,0
CO,2016,8,2016-08-01,1,1,0,0
CO,2016,10,2016-10-01,3,3,0,0
CO,2016,11,2016-11-01,2,1,1,0
CO,2016,12,2016-12-01,30,30,0,0
CO,2017,1,2017-01-01,1,0,1,0
CO,2017,2,2017-02-01,2,0,2,0
CO,2017,3,2017-03-01,1,0,1,0
CO,2017,5,2017-05-01,1,1,0,0
CO,2017,6,2017-06-01,1,1,0,0
CO,2017,7,2017-07-01,1,0,1,0
CO,2017,8,2017-08-01,1,1,0,0
CO,2017,9,2017-09-01,1,0,1,0
CO,2017,10,2017-10-01,2,2,0,0
CO,2017,11,2017-11-01,7,2,5,0
CO,2018,2,2018-02-01,1,1,0,0
CO,2018,3,2018-03-01,4,2,2,0
CO,2018,6,2018-06-01,1,0,1,0
CO,2018,10,2018-10-01,1,0,1,0
CO,2018,12,2018-12-01,1,1,0,0
CO,2019,1,2019-01-01,10,0,10,0
CO,2019,2,2019-02-01,2,0,2,0
CO,2019,3,2019-03-01,1,0,1,0
CO,2019,5,2019-05-01,1,0,1,0
CO,2019,7,2019-07-01,7,0,7,0
CO,2019,10,2019-10-01,5,0,4,1
CO,2019,11,2019-11-01,2,1,1,0
CO,2019,12,2019-12-01,1,1,0,0
CO,2020,1,2020-01-01,3,1,2,0
CO,2020,2,2020-02-01,4,0,4,0
CO,2020,10,2020-10-01,1,0,1,0
CO,2021,3,2021-03-01,3,1,0,2
CO,2021,5,2021-05-01,4,4,0,0
CO,2021,10,2021-10-01,2,2,0,0
CO,2022,1,2022-01-01,1,0,1,0
CO,2022,2,2022-02-01,1,0,1,0
CO,2022,5,2022-05-01,2,1,1,0
CO,2022,7,2022-07-01,2,0,2,0
CO,2022,8,2022-08-01,2,2,0,0
CO,2022,9,2022-09-01,2,0,2,0
CO,2022,10,2022-10-01,4,4,0,0
CO,2023,1,2023-01-01,1,1,0,0
CO,2023,3,2023-03-01,2,0,2,0
CO,2023,4,2023-04-01,1,0,1,0
CO,2023,5,2023-05-01,1,0,1,0
CO,2023,6,2023-06-01,2,0,0,2
CO,2023,12,2023-12-01,1,0,1,0
CO,2024,2,2024-02-01,1,0,0,1
CO,2024,7,2024-07-01,3,0,3,0
CO,2024,8,2024-08-01,2,0,2,0
CO,2024,9,2024-09-01,1,0,1,0
CO,2024,10,2024-10-01,7,6,1,0
CO,2024,12,2024-12-01,1,0,1,0
CO,2025,2,2025-02-01,3,0,2,1
CO,2025,3,2025-03-01,1,0,1,0
CO,2025,4,2025-04-01,1,1,0,0
CO,2025,8,2025-08-01,4,0,4,0
CO,2025,9,2025-09-01,3,0,3,0
CO,2025,10,2025-10-01,2,0,2,0
CO,2025,12,2025-12-01,1,0,1,0
CT,2011,7,2011-07-01,1,0,1,0
CT,2012,10,2012-10-01,1,1,0,0
CT,2012,11,2012-11-01,1,1,0,0
CT,2013,6,2013-06-01,2,2,0,0
CT,2013,9,2013-09-01,2,0,2,0
CT,2013,11,2013-11-01,2,0,2,0
CT,2013,12,2013-12-01,1,1,0,0
CT,2014,1,2014-01-01,3,2,1,0
CT,2014,2,2014-02-01,1,0,1,0
CT,2014,6,2014-06-01,6,0,6,0
CT,2014,7,2014-07-01,5,4,1,0
CT,2014,12,2014-12-01,1,0,0,1
CT,2015,1,2015-01-01,4,2,0,2
CT,2015,3,2015-03-01,12,12,0,0
CT,2015,5,2015-05-01,1,1,0,0
CT,2015,12,2015-12-01,7,0,7,0
CT,2016,3,2016-03-01,1,0,1,0
CT,2016,4,2016-04-01,7,0,7,0
CT,2016,5,2016-05-01,3,3,0,0
CT,2016,12,2016-12-01,1,0,1,0
CT,2017,2,2017-02-01,4,0,4,0
CT,2017,4,2017-04-01,1,0,1,0
CT,2017,6,2017-06-01,1,0,1,0
CT,2017,7,2017-07-01,1,1,0,0
CT,2017,8,2017-08-01,2,1,1,0
CT,2017,11,2017-11-01,5,0,5,0
CT,2017,12,2017-12-01,1,1,0,0
CT,2018,2,2018-02-01,2,0,2,0
CT,2018,5,2018-05-01,1,0,1,0
CT,2018,7,2018-07-01,8,0,8,0
CT,2018,8,2018-08-01,1,0,1,0
CT,2018,9,2018-09-01,1,0,1,0
CT,2019,3,2019-03-01,1,0,1,0
CT,2019,8,2019-08-01,1,0,1,0
CT,2019,12,2019-12-01,4,0,4,0
CT,2020,12,2020-12-01,2,2,0,0
CT,2021,2,2021-02-01,1,1,0,0
CT,2021,4,2021-04-01,1,0,1,0
CT,2021,5,2021-05-01,1,0,1,0
CT,2022,1,2022-01-01,1,0,1,0
CT,2022,2,2022-02-01,1,1,0,0
CT,2022,6,2022-06-01,1,0,0,1
CT,2022,7,2022-07-01,1,0,1,0
CT,2022,8,2022-08-01,8,7,1,0
CT,2022,9,2022-09-01,1,0,1,0
CT,2022,12,2022-12-01,1,0,1,0
CT,2023,12,2023-12-01,2,0,2,0
CT,2024,1,2024-01-01,1,0,1,0
CT,2024,3,2024-03-01,9,5,3,1
CT,2024,4,2024-04-01,2,2,0,0
CT,2024,5,2024-05-01,1,0,1,0
CT,2024,11,2024-11-01,34,0,34,0
CT,2024,12,2024-12-01,1,0,1,0
CT,2025,4,2025-04-01,1,1,0,0
CT,2025,5,2025-05-01,1,1,0,0
CT,2025,6,2025-06-01,1,0,1,0
CT,2025,9,2025-09-01,7,0,4,3
CT,2025,10,2025-10-01,3,0,3,0
DC,2014,4,2014-04-01,6,0,0,6
DC,2021,2,2021-02-01,1,1,0,0
DC,2022,1,2022-01-01,1,0,1,0
DC,2025,8,2025-08-01,1,0,1,0
DE,2014,2,2014-02-01,18,13,5,0
DE,2014,5,2014-05-01,1,1,0,0
DE,2015,2,2015-02-01,3,0,3,0
DE,2016,4,2016-04-01,1,1,0,0
DE,2020,3,2020-03-01,3,0,3,0
DE,2022,7,2022-07-01,1,1,0,0
DE,2023,1,2023-01-01,1,1,0,0
DE,2023,3,2023-03-01,1,0,1,0
DE,2024,12,2024-12-01,1,0,1,0
FL,2011,4,2011-04-01,2,0,2,0
FL,2011,6,2011-06-01,5,1,4,0
FL,2012,1,2012-01-01,1,0,1,0
FL,2012,2,2012-02-01,6,0,6,0
FL,2012,4,2012-04-01,3,3,0,0
FL,2012,6,2012-06-01,2,1,1,0
FL,2012,7,2012-07-01,60,58,2,0
FL,2012,8,2012-08-01,6,3,3,0
FL,2012,9,2012-09-01,17,17,0,0
FL,2012,10,2012-10-01,3,2,1,0
FL,2012,11,2012-11-01,45,44,1,0
FL,2012,12,2012-12-01,19,16,1,2
FL,2013,1,2013-01-01,1,1,0,0
FL,2013,2,2013-02-01,17,17,0,0
FL,2013,3,2013-03-01,7,7,0,0
FL,2013,4,2013-04-01,4,0,4,0
FL,2013,5,2013-05-01,3,1,2,0
FL,2013,7,2013-07-01,1,0,0,1
FL,2013,8,2013-08-01,3,1,0,2
FL,2013,10,2013-10-01,1,0,1,0
FL,2013,11,2013-11-01,3,0,2,1
FL,2014,1,2014-01-01,1,1,0,0
FL,2014,2,2014-02-01,2,2,0,0
FL,2014,3,2014-03-01,4,1,3,0
FL,2014,4,2014-04-01,7,2,4,1
FL,2014,6,2014-06-01,4,0,4,0
FL,2014,7,2014-07-01,8,7,1,0
FL,2014,8,2014-08-01,1,1,0,0
FL,2014,9,2014-09-01,3,1,2,0
FL,2014,10,2014-10-01,19,18,1,0
FL,2014,11,2014-11-01,5,1,4,0
FL,2014,12,2014-12-01,6,0,6,0
FL,2015,1,2015-01-01,7,0,7,0
FL,2015,2,2015-02-01,11,0,11,0
FL,2015,3,2015-03-01,4,2,2,0
FL,2015,4,2015-04-01,1,0,0,1
FL,2015,7,2015-07-01,1,0,0,1
FL,2015,8,2015-08-01,4,3,1,0
FL,2015,9,2015-09-01,10,1,9,0
FL,2015,10,2015-10-01,177,4,173,0
FL,2015,12,2015-12-01,3,3,0,0
FL,2016,1,2016-01-01,10,8,2,0
FL,2016,2,2016-02-01,7,4,3,0
FL,2016,3,2016-03-01,12,0,12,0
FL,2016,4,2016-04-01,4,2,2,0
FL,2016,5,2016-05-01,2,2,0,0
FL,2016,6,2016-06-01,9,2,7,0
FL,2016,8,2016-08-01,39,7,32,0
FL,2016,9,2016-09-01,7,1,6,0
FL,2016,10,2016-10-01,7,5,2,0
FL,2016,11,2016-11-01,1,1,0,0
FL,2016,12,2016-12-01,11,4,7,0
FL,2017,1,2017-01-01,1,0,1,0
FL,2017,2,2017-02-01,4,0,4,0
FL,2017,3,2017-03-01,14,14,0,0
FL,2017,4,2017-04-01,5,4,1,0
FL,2017,5,2017-05-01,6,3,2,1
FL,2017,6,2017-06-01,8,2,6,0
